tweet,sentiment
국민은행 에서 정두홍 이 군도 액션 장면 강의 하 는 영상 틀 어 주 었 는데 강동원 목이 계속 잘리 고 ㅜㅜ 나 도 모르 게 앓 고 있 음 어 앙 대 ㅠㅠㅠㅠㅠㅠ ,2
이지성 찾 는다 나 잠깐 일 있 었 는데 왜 속상하 어 하 면서 가 내 가 그만큼 믿음 을 못 주 었 는지 모르 겠 지만 그냥 안 가 ᆫ다고 오래 가 자고 약속 하 었 잖아 이거 보 면 다시 오 어라 나 ᆫ 톡방 도 아직 그대로 있 어 얼른 와 무슨 일 있 었 는지 도 다 얘기 하 어 주 ᆯ게 ,2
이지오 선수 ... 럿츠뛸 때 토찍 고 넘어지 ᆯ 때 아예 골반 이 빙판 에 엇비슷 하 게 찧 어서 처음 에 탈골 되 ᆫ 줄 알 었 다 아 정말 ..... 건강 하 게 회복 하 었 으면 좋 겠 다 ㅠㅠㅠㅠ ,2
롬바르 디아 트로피 때 뇌진탕 이 염려 되 는 수준 으로 넘어지 어서 머리 를 감싸 쥐 고 일어나 지 ᆯ 못하 어 의 무반 이 빙판 에 들어오 어 들 ᆯ 것 에 실리 어 나가 ᆫ 외국 여 선수 를 직접 보 ᆫ 적 은 있 지만 우리 선수 에게 일어나 니 속 으로 현실 비명 이 터지 는 ... 이지오 선수 크 ᆫ 일 이 아니 기 ᆯ ㅠㅠ ,2
이지오 선수 의료진 과 함께 휠체어 로 퇴장 ㅠㅠ ,2
일어나 지 못하 고 울 는 이지오 선수 를 보 며 새삼 피겨 가 얼마나 잔인 하 ᆫ 운동 이 ᆫ지 느끼 어 지 어서 마음 이 무겁 다 ,2
이지오 선수 제발 크 ᆫ 부상 아니 기 ᆯ ㅠ ,2
공식 연습 내내 컨디션 이 좋 지 않 었 던 이지오 선수 가 트살 을 정신력 으로 버티 었 지만 더블러츠 를 뛰 다가 경기 를 지속 하 지 못하 는 상태 가 되 었 다 . 넘어지 고 일어나 지 못하 ᆯ 때 경기 를 중단 하 었 어야 하 는데 안무 를 잇 어 가 다가 더 크 게 통증 이 오 ᆫ 것 같 다 . 결국 부상 기권 처리 ... ,2
이지오 선수 경기 중단 . 넘어지 ᆫ 뒤 한동안 일어나 지 못하 었 고 경기 를 계속 하 려고 하 었 으나 결국 중단 하 었 다 . 너무 아프 어 보이 어서 걱정 되 는데 ... 크 ᆫ 부상 이 아니 었 으면 좋 겠 다 ㅠㅠㅠㅠ ,2
그나저나 이지오 선수 상태 는 어떻 ᆫ지 ... 크 ᆫ 부상 아니 기 ᆯ ㅠ ,2
보 고 싶 은 사람 못 보 는 거 힘들 ᆫ지 알 고 는 있 었 는데 이렇 게 많이 힘들 ᆯ 줄 은 모르 었 네요 너무 보 고 싶 은데 뭐 어찌 하 ᆯ 도리 도 없 고 아무렇 지 않 어 보이 지만 기분 이 지하 맨틀 을 파 고 들 어 내핵 까지 가 ᆯ 거 같 어서 바쁘 ᆫ 거 끝 나 었 지만 데 ᆷ 답 당분간 느리 게 굴 러 가 ᆯ게요 ,2
" 퍼포먼스 팀 이 ᆫ 호시 ( 권순 영 ) 준 ( 문준 휘 ) 디에잇 ( 서 명호 ) 찬 ( 이 ( 중 ) 찬 )  
보컬 팀 이 ᆫ 우지 ( 이지훈 ) 정하 ᆫ ( 윤 정하 ᆫ ) 조슈아 ( 홍지수 ) 승관 ( 부 승관 ) 도겸 ( 이석 민 ) 사진 에 는 12 명 이 있 지만 명호 가 아파서 빠지 ᆫ 거 이 에요 ㅠ 요즘 에 허리 가 아프 어요 ㅠ 승철이 도 무릎 이 아프 었 고요 ㅠ  ",2
내 가 제일 심하 게 패 ᆫ 질 하 는 작품 의 존재 를 부정 하 어야 만 하 겠 니 이렇 게 흑흑 너무 하 잖아 밤새 예수 를 세 번 부인 하 는 베드로 의 심정 이 나 같 었 을 것 이 다 아니 베드로 는 자기 가 잘못 하 ᆫ 거 이 잖아 난 제작진 이 잘못 하 ᆫ 거 이 라구 1년 전 딱 이맘 때 멘탈 다 털리 고 가루 되 어서 아프 었 던 거 생각 나 네 젠장 맞 을 ㅋㅋㅋㅋㅋ ,2
내 가 제일 심하 게 패 ᆫ 질 하 는 작품 의 존재 를 부정 하 어야 만 하 겠 니 이렇 게 흑흑 너무 하 잖아 밤새 예수 를 세 번 부인 하 는 베드로 의 심정 이 나 같 었 을 것 이 다 아니 베드로 는 자기 가 잘못 하 ᆫ 거 이 잖아 난 제작진 이 잘못 하 ᆫ 거 이 라구 1년 전 딱 이맘 때 멘탈 다 털리 고 가루 되 어서 아프 었 던 거 생각 나 네 젠장 맞 을 ㅋㅋㅋㅋㅋ ,2
" ㅠㅠ 김세연 , 이학재 의원 .. 정말 맘 이 찢어지 어요  ",2
" 저 는 어리 었 을 때 부터 우울 하 었 고 어둡 었 어요 그런 저 의 생 을 따뜻 하 게 하 어 주 ᆫ 게 봄 을 찾 어 주 ᆫ 것 이 샤이니 이 고 김종현 이 야 그런 데 우리 종현 이 가 2 주 전 세상 을 떠나 었 습니다 내 가 고통 받 는 우울증 으로 , 더 는 견디 기 힘들 어 . 이해 가 안 되 ᆫ다고요 당신 의 모습 들 은 가식 이 ᆸ니까 ?  ",2
" 아 주 님 왜 그러 시 었 어요 진자 ㅠ 착하 게 살 ᆫ 애 한테 그러 면 안 되 잖아요 흑흑 ㅠㅜㅠㅠ 심지어 착하 게 까지 살 었 다니까 더 안타깝 고 으윽 으 으윽 어떡 하 어 ㅠㅠㅠ 준 의 도 정말 신실 하 어서 신 을 찾 었 던 거 ᆫ 아니 지만 , 신 을 부정 하 는 이찬 이도 너무 이해 가 되 어서 진짜 ㅠㅜㅜ  ",2
